"tip_label","kingdom","phylum","class","order","family","genus","species","order2","alpha","family2","hab1","hab2","habitat_preference","num_present","family_common"
"otu_10582","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",10,"SG8-38"
"otu_12150","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",4,"SG8-38"
"otu_4081","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_233","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",18,"SG8-38"
"otu_1427","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",12,"SG8-38"
"otu_16387","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",5,"SG8-38"
"otu_3469","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",12,"SG8-38"
"otu_6898","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",4,"SG8-38"
"otu_238","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",5,"SG8-38"
"otu_1267","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",10,"SG8-38"
"otu_2643","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_3311","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",7,"SG8-38"
"otu_750","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_20423","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",5,"SG8-38"
"otu_5905","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","mud_and_shore","freshwater:mud_and_shore",5,"SG8-38"
"otu_1386","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",8,"SG8-38"
"otu_16336","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",6,"SG8-38"
"otu_19655","Bacteria","Myxococcota","Polyangia","Polyangiales",NA,NA,NA,"Polyangiales",1,"uncertain","freshwater","freshwater","freshwater",5,"uncertain"
"otu_5895","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",11,"SG8-38"
"otu_1309","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",13,"SG8-38"
"otu_11478","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",6,"SG8-38"
