generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
180000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,2.42703,0.0330256,13.7489,0
180000,otu_886_Anaeromyxobacteraceae,otu_250_Anaeromyxobacteraceae,0.671283,26.6021,-6.13432,0.217782,0
180000,otu_1287,otu_1332_40CM-4-68-19,0.416307,32.1677,-5.03109,0.370511,0
180000,otu_1279_Haliangiaceae,otu_1485,0.590551,29.4834,-6.50914,0.164219,0
180000,otu_1438_Sandaracinaceae,otu_2204_Sandaracinaceae,0.686907,9.21147,-1.00857,0.481272,0
180000,otu_1088_Polyangiaceae,NA,0.995624,88.28,-0.848822,18.8534,0
180000,otu_5092_Polyangiaceae,otu_519_Polyangiaceae,0.772079,8.96816,0.532258,0.151238,0
180000,otu_617_Polyangiaceae,otu_3878,0.514768,29.5098,-5.47247,0.0453987,0
180000,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.185234,19.1842,-2.76399,0.0179706,0
200000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,4.45481,-0.780893,5.42345,0
200000,otu_3418_Anaeromyxobacteraceae,otu_1610_Anaeromyxobacteraceae,0.691858,13.6399,-3.00855,0.299747,0
200000,otu_1332_40CM-4-68-19,otu_2107_Anaeromyxobacteraceae,0.433044,35.9968,-5.70774,0.0195665,0
200000,otu_1279_Haliangiaceae,otu_1485,0.589538,28.1074,-6.27145,0.0640472,0
200000,otu_4406_Polyangiaceae,NA,0.941229,17.2556,-1.236,18.2356,0
200000,otu_2316_Polyangiaceae,NA,0.957559,2.5269,0.658119,22.1607,0
200000,otu_5092_Polyangiaceae,otu_519_Polyangiaceae,0.729441,15.7947,-0.262024,1.68625,0
200000,otu_617_Polyangiaceae,otu_3878,0.515733,28.03,-5.42406,0.285417,0
200000,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.161666,23.5701,-2.85675,0.0877516,0
220000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,4.72639,-0.068963,2.59491,0
220000,otu_3418_Anaeromyxobacteraceae,otu_1610_Anaeromyxobacteraceae,0.688233,10.5605,-1.72111,1.37258,0
220000,otu_5555_Myxococcaceae,NA,0.741331,2.60258,0.0409877,12.675,0
220000,otu_2107_Anaeromyxobacteraceae,otu_3394_Vulgatibacteraceae,0.442893,32.1193,-5.36359,0.0571507,0
220000,otu_2701_Haliangiaceae,NA,0.988731,36.9795,1.75716,74.383,0
220000,otu_6383_Haliangiaceae,NA,0.88233,8.91154,0.650227,16.7847,0
220000,otu_1279_Haliangiaceae,otu_1485,0.594322,38.3537,-7.30055,0.542173,0
220000,otu_1215_PHBI01,NA,0.991766,28.4679,0.0464359,51.1394,0
220000,otu_7798_Polyangiaceae,otu_2422_Polyangiaceae,0.893687,17.7145,-2.1532,2.87787,0
220000,otu_617_Polyangiaceae,otu_3878,0.513522,42.6574,-6.64573,0.0010417,0
220000,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.208682,26.6551,-3.28723,0.0264477,0
240000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,12.2614,-0.8993,12.1539,0
240000,otu_886_Anaeromyxobacteraceae,otu_250_Anaeromyxobacteraceae,0.66408,17.1584,-4.07626,0.0547674,0
240000,otu_1287,otu_1332_40CM-4-68-19,0.420246,29.8753,-4.89651,0.0483499,0
240000,otu_4932_Haliangiaceae,otu_308_Haliangiaceae,0.576614,41.9596,-7.32651,0.0743293,0
240000,otu_519_Polyangiaceae,otu_3686_Polyangiaceae,0.803366,11.9996,-0.375551,1.32074,0
240000,otu_9905_Polyangiaceae,otu_6388_Polyangiaceae,0.505996,26.6349,-5.40967,0.166864,0
240000,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.173121,22.8643,-2.88363,0.0980686,0
260000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,1.57475,0.0827964,1.1884,0
260000,otu_250_Anaeromyxobacteraceae,otu_3418_Anaeromyxobacteraceae,0.682777,49.3129,-8.27256,1.32157,0
260000,otu_1332_40CM-4-68-19,otu_2107_Anaeromyxobacteraceae,0.433874,32.2843,-5.39742,0.0343367,0
260000,otu_308_Haliangiaceae,otu_1279_Haliangiaceae,0.580823,25.3409,-5.73114,0.132071,0
260000,otu_1880_Myxococcaceae,NA,0.939545,11.5206,1.38936,49.5206,0
260000,otu_35_SG8-38,NA,0.949492,0.791063,-0.492318,14.2449,0
260000,otu_3686_Polyangiaceae,otu_6635_Polyangiaceae,0.837469,11.7857,-0.552189,0.332906,0
260000,otu_9066_Polyangiaceae,otu_905_Polyangiaceae,0.488459,29.3682,-5.03474,0.169689,0
260000,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.0737809,29.7954,-2.78754,0.0795618,0
280000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,1.61217,-1.06512,0.583825,0
280000,otu_594_Anaeromyxobacteraceae,NA,0.725827,2.7171,0.263084,14.4158,0
280000,otu_2930_Bradymonadaceae,NA,0.983613,12.1263,1.48333,30.5701,0
