"sample","habitat_group","location","clust","sample_depth","n_species","freshwater:terrestrial","terrestrial","freshwater","freshwater:marine_mud","freshwater:marine_mud:terrestrial","marine_mud","marine_mud:terrestrial"
"sample_s5","pasture","Helford","terrestrial",64064,389,122,262,3,0,2,0,0
"sample_s8","field_wheat","Helford","terrestrial",61789,497,182,301,13,0,1,0,0
"sample_s40","pasture","Fowey","terrestrial",50644,355,132,223,0,0,0,0,0
"sample_s34","pasture","Looe","terrestrial",85956,438,184,230,23,1,0,0,0
"sample_s71","rock_samphire","Fal","terrestrial",8336,40,1,37,0,0,0,0,2
"sample_s31","woodland_pine","Fowey","terrestrial",8557,24,3,21,0,0,0,0,0
"sample_s21","woodland_oak","Looe","terrestrial",8839,91,46,45,0,0,0,0,0
"sample_s1","woodland_oak","Fal","terrestrial",6126,35,4,31,0,0,0,0,0
"sample_s9","reservoir","Fal","freshwater",21218,157,10,1,142,4,0,0,0
"sample_s43","rock_samphire","Tamar","terrestrial",11979,65,3,32,0,0,0,28,2
"sample_s4","field_wheat","Fal","terrestrial",29472,334,117,212,4,0,1,0,0
"sample_s73","rock_samphire","Helford","terrestrial",316,4,2,2,0,0,0,0,0
"sample_s70","beach_seaweed","Fal","marine_mud",28,1,0,1,0,0,0,0,0
