"sample","habitat_group","location","clust","sample_depth","n_species","freshwater:terrestrial","marine_mud:terrestrial","terrestrial","freshwater","freshwater:marine_mud","freshwater:marine_mud:terrestrial","marine_mud"
"sample_s26","field_wheat","Looe","terrestrial",64795,127,94,1,21,5,4,2,0
"sample_s54","river","Fal","freshwater",88465,206,91,0,2,83,27,3,0
"sample_s13","river","Helford","freshwater",77776,189,99,0,0,70,17,3,0
"sample_s39","rock_samphire","Fowey","terrestrial",27484,50,33,2,10,2,2,1,0
"sample_s58","field_wheat","Tamar","terrestrial",75240,127,94,1,25,5,0,1,1
"sample_s20","estuarine mud_oligohaline","Looe","marine_mud",72690,190,54,2,1,22,25,4,82
"sample_s9","reservoir","Fal","freshwater",21218,78,30,0,0,42,5,1,0
"sample_s34","pasture","Looe","terrestrial",85956,142,105,2,27,6,2,0,0
"sample_s29","rock_samphire","Helford","terrestrial",28649,55,35,2,10,1,2,1,4
"sample_s2","pasture","Fal","terrestrial",27594,67,60,0,7,0,0,0,0
"sample_s66","marine mud_full saline","Fal","marine_mud",34468,81,1,1,0,0,1,0,78
"sample_s27","beach_subtidal","Fal","marine_mud",36344,73,2,3,0,0,2,0,66
"sample_s48","field_wheat","Camel","terrestrial",42064,131,104,1,19,1,2,2,2
"sample_s5","pasture","Helford","terrestrial",64064,133,105,1,26,1,0,0,0
"sample_s8","field_wheat","Helford","terrestrial",61789,158,112,2,32,7,3,2,0
"sample_s14","estuarine mud_oligohaline","Helford","marine_mud",54679,234,75,2,5,42,25,3,82
"sample_s40","pasture","Fowey","terrestrial",50644,125,98,1,23,1,2,0,0
"sample_s61","woodland_oak","Camel","terrestrial",33287,100,79,0,15,3,1,2,0
"sample_s71","rock_samphire","Fal","terrestrial",8336,29,17,2,7,1,1,1,0
"sample_s4","field_wheat","Fal","terrestrial",29472,116,89,2,19,3,2,1,0
"sample_s1","woodland_oak","Fal","terrestrial",6126,25,18,1,6,0,0,0,0
"sample_s21","woodland_oak","Looe","terrestrial",8839,48,44,0,4,0,0,0,0
"sample_s31","woodland_pine","Fowey","terrestrial",8557,20,17,0,3,0,0,0,0
"sample_s43","rock_samphire","Tamar","terrestrial",11979,55,20,2,8,1,2,0,22
"sample_s73","rock_samphire","Helford","terrestrial",316,4,3,0,0,0,1,0,0
"sample_s70","beach_seaweed","Fal","marine_mud",28,1,0,1,0,0,0,0,0
