"sample","habitat_group_16s","location","clust","sample_depth","n_species","freshwater","freshwater:terrestrial","terrestrial","freshwater:marine_mud","freshwater:marine_mud:terrestrial","marine_mud","marine_mud:terrestrial"
"sample_s12","reservoir","Helford","freshwater",64672,147,94,46,1,6,0,0,0
"sample_s28","beach_seaweed","Helford","marine_mud",38877,37,0,0,0,0,0,36,1
"sample_s62","woodland_pine","Camel","terrestrial",37749,80,1,45,34,0,0,0,0
"sample_s64","estuarine mud_oligohaline","Camel","marine_mud",72028,274,58,32,4,49,1,130,0
"sample_s56","river","Camel","freshwater",131881,505,280,162,8,53,2,0,0
"sample_s69","reservoir","Fal","freshwater",159660,182,117,51,0,11,2,1,0
"sample_s18","beach_subtidal","Helford","marine_mud",62047,98,0,1,2,0,0,95,0
"sample_s51","river","Tamar","freshwater",117097,390,218,124,7,41,0,0,0
"sample_s17","woodland_pine","Helford","terrestrial",63769,50,1,16,33,0,0,0,0
"sample_s13","river","Helford","freshwater",77776,349,181,128,3,36,1,0,0
"sample_s39","rock_samphire","Fowey","terrestrial",27484,71,2,30,36,2,1,0,0
"sample_s20","estuarine mud_oligohaline","Looe","marine_mud",72690,287,70,49,5,47,1,115,0
"sample_s57","pasture","Camel","terrestrial",55084,178,6,97,75,0,0,0,0
"sample_s36","field_wheat","Fowey","terrestrial",91327,257,7,134,116,0,0,0,0
"sample_s58","field_wheat","Tamar","terrestrial",75240,243,4,124,113,0,1,1,0
"sample_s65b","marine mud_full saline","Fal","marine_mud",48369,114,0,0,0,0,0,114,0
"sample_s29","rock_samphire","Helford","terrestrial",28649,70,1,26,36,1,0,5,1
"sample_s54","river","Fal","freshwater",88465,414,246,114,3,51,0,0,0
"sample_s27","beach_subtidal","Fal","marine_mud",36344,107,0,1,1,0,0,104,1
"sample_s26","field_wheat","Looe","terrestrial",64795,250,7,129,113,1,0,0,0
"sample_s48","field_wheat","Camel","terrestrial",42064,243,2,131,106,0,2,2,0
"sample_s5","pasture","Helford","terrestrial",64064,262,3,140,118,0,1,0,0
"sample_s34","pasture","Looe","terrestrial",85956,295,15,163,117,0,0,0,0
"sample_s8","field_wheat","Helford","terrestrial",61789,348,12,186,147,2,1,0,0
"sample_s9","reservoir","Fal","freshwater",21218,120,92,21,0,7,0,0,0
"sample_s14","estuarine mud_oligohaline","Helford","marine_mud",54679,387,109,90,21,51,4,111,1
"sample_s2","pasture","Fal","terrestrial",27594,106,1,69,36,0,0,0,0
"sample_s61","woodland_oak","Camel","terrestrial",33287,189,10,115,61,2,0,0,1
"sample_s71","rock_samphire","Fal","terrestrial",8336,36,0,12,22,1,0,0,1
"sample_s66","marine mud_full saline","Fal","marine_mud",34468,113,0,0,1,0,0,112,0
"sample_s40","pasture","Fowey","terrestrial",50644,244,3,133,108,0,0,0,0
"sample_s1","woodland_oak","Fal","terrestrial",6126,31,1,8,22,0,0,0,0
"sample_s4","field_wheat","Fal","terrestrial",29472,254,5,138,111,0,0,0,0
"sample_s31","woodland_pine","Fowey","terrestrial",8557,22,0,6,16,0,0,0,0
"sample_s21","woodland_oak","Looe","terrestrial",8839,77,2,48,27,0,0,0,0
"sample_s43","rock_samphire","Tamar","terrestrial",11979,61,0,12,22,0,1,26,0
"sample_s73","rock_samphire","Helford","terrestrial",316,4,0,2,2,0,0,0,0
"sample_s70","beach_seaweed","Fal","marine_mud",28,1,0,0,1,0,0,0,0
