"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"287",36,"terrestrial","ard",97.7,0.814372017703745
"288",36,"terrestrial","er",97.7,0.69613612652444
"289",37,"all","ard",97.7,2.1630954011303e-120
"290",37,"all","er",97.7,0.610735668703164
"291",37,"freshwater","ard",97.7,0.702612726264167
"292",37,"freshwater","er",97.7,0.752385412998667
"293",37,"marine_mud","ard",97.7,2.1630954011303e-120
"294",37,"marine_mud","er",97.7,0.610735668703164
"295",37,"terrestrial","ard",97.7,0.702612726264167
"296",37,"terrestrial","er",97.7,0.752385412998667
"297",38,"all","ard",97.7,0.853271346752209
"298",38,"all","er",97.7,0.552115277530736
"299",38,"freshwater","ard",97.7,0.853514051679603
"300",38,"freshwater","er",97.7,0.947197386148725
"301",38,"marine_mud","ard",97.7,0.853271346752209
"302",38,"marine_mud","er",97.7,0.552115277530736
"303",38,"terrestrial","ard",97.7,0.853514051679603
"304",38,"terrestrial","er",97.7,0.947197386148725
"305",39,"all","ard",97.7,0.812561413540852
"306",39,"all","er",97.7,0.479848746683736
"307",39,"freshwater","ard",97.7,0.772291180426737
"308",39,"freshwater","er",97.7,0.751441686568637
"309",39,"marine_mud","ard",97.7,0.812561413540852
"310",39,"marine_mud","er",97.7,0.479848746683736
"311",39,"terrestrial","ard",97.7,0.772291180426737
"312",39,"terrestrial","er",97.7,0.751441686568637
"313",40,"all","ard",97.7,0.879644654037374
"314",40,"all","er",97.7,0.921416772238232
"315",40,"freshwater","ard",97.7,0.890977104942623
"316",40,"freshwater","er",97.7,0.842343199185615
"317",40,"marine_mud","ard",97.7,0.879644654037374
"318",40,"marine_mud","er",97.7,0.921416772238232
"319",40,"terrestrial","ard",97.7,0.890977104942623
"320",40,"terrestrial","er",97.7,0.842343199185615
"321",41,"all","ard",97.7,0.91920587215612
"322",41,"all","er",97.7,0.850257604211884
"323",41,"freshwater","ard",97.7,0.923323480600233
"324",41,"freshwater","er",97.7,0.788434404471523
"325",41,"marine_mud","ard",97.7,0.91920587215612
"326",41,"marine_mud","er",97.7,0.850257604211884
"327",41,"terrestrial","ard",97.7,0.923323480600233
"328",41,"terrestrial","er",97.7,0.788434404471523
"329",42,"all","ard",97.7,0.937136690480379
"330",42,"all","er",97.7,0.733244925319676
"331",42,"freshwater","ard",97.7,0.870877387630193
"332",42,"freshwater","er",97.7,0.837753232405121
"333",42,"marine_mud","ard",97.7,0.937136690480379
"334",42,"marine_mud","er",97.7,0.733244925319676
"335",42,"terrestrial","ard",97.7,0.870877387630193
"336",42,"terrestrial","er",97.7,0.837753232405121
"337",43,"all","ard",97.7,0.900233121537283
"338",43,"all","er",97.7,0.961374565823989
"339",43,"freshwater","ard",97.7,0.877757875230981
"340",43,"freshwater","er",97.7,0.822185843601212
"341",43,"marine_mud","ard",97.7,0.900233121537283
"342",43,"marine_mud","er",97.7,0.961374565823989
"343",43,"terrestrial","ard",97.7,0.877757875230981
"344",43,"terrestrial","er",97.7,0.822185843601212
"345",44,"all","ard",97.7,0.811730195964276
"346",44,"all","er",97.7,0.573826460521155
"347",44,"freshwater","ard",97.7,0.81178440884368
"348",44,"freshwater","er",97.7,0.645535817425979
"349",44,"marine_mud","ard",97.7,0.811730195964276
"350",44,"marine_mud","er",97.7,0.573826460521155
"351",44,"terrestrial","ard",97.7,0.81178440884368
"352",44,"terrestrial","er",97.7,0.645535817425979
"353",45,"all","ard",97.7,0.740846474204255
"354",45,"all","er",97.7,0.559753510518864
"355",45,"freshwater","ard",97.7,0.812537957313193
"356",45,"freshwater","er",97.7,0.560484307378617
"357",45,"marine_mud","ard",97.7,0.740846474204255
"358",45,"marine_mud","er",97.7,0.559753510518864
"359",45,"terrestrial","ard",97.7,0.812537957313193
"360",45,"terrestrial","er",97.7,0.560484307378617
"361",46,"all","ard",97.7,0.900350062604193
"362",46,"all","er",97.7,0.607446160270099
"363",46,"freshwater","ard",97.7,0.937117211971305
"364",46,"freshwater","er",97.7,0.866925588732025
"365",46,"marine_mud","ard",97.7,0.900350062604193
"366",46,"marine_mud","er",97.7,0.607446160270099
"367",46,"terrestrial","ard",97.7,0.937117211971305
