generation,N_shifts,logPrior,logLik,eventRate,acceptRate
12540000,20,-248.968,2499.66,15.2757,0.56
12560000,22,-271.612,2478.51,23.0777,0.588
12580000,24,-291.352,2503.46,21.6699,0.5658
12600000,18,-224.905,2483.96,22.202,0.564
12620000,21,-246.834,2474.58,21.4715,0.583
12640000,34,-400.803,2516.99,32.5488,0.604
12660000,33,-393.852,2509.49,36.0329,0.604
12680000,24,-303.219,2504.64,32.2953,0.5362
12700000,21,-258.605,2504.74,28.2033,0.524
12720000,32,-392.799,2502.75,23.0247,0.59
12740000,24,-304.081,2545.36,35.3144,0.536
12760000,21,-263.275,2499.68,20.6016,0.56
12780000,30,-349.648,2482.57,27.2766,0.575889
12800000,28,-342.372,2524.36,24.3883,0.586
12820000,29,-338.478,2496.76,29.7018,0.554
12840000,25,-293.758,2481.03,32.454,0.593
12860000,30,-348.233,2499.57,33.7983,0.577
12880000,28,-345.28,2476.62,24.9777,0.56975
12900000,32,-404.958,2568.35,42.1589,0.554065
12920000,22,-271.428,2485.21,23.4861,0.549
12940000,27,-318.834,2487.7,29.0791,0.579
12960000,27,-327.293,2497.44,34.1349,0.594
12980000,21,-267.61,2514.94,17.3599,0.521
13000000,21,-262.219,2485.57,15.7025,0.547
13020000,19,-243.945,2500.21,20.7728,0.543
13040000,33,-403.604,2548.51,33.2051,0.566
13060000,26,-320.569,2510.4,30.0873,0.583
13080000,30,-365.876,2520.64,23.3393,0.5845
13100000,41,-493.691,2551.8,40.04,0.586
13120000,36,-442.626,2546.5,33.7612,0.604
13140000,26,-332.091,2526.71,22.1802,0.56
13160000,25,-318.375,2489.05,36.148,0.559625
13180000,27,-332.509,2499.53,31.5308,0.577
13200000,34,-412.019,2536.96,40.9716,0.624
13220000,29,-353.599,2517.82,32.406,0.561
13240000,36,-430.885,2532.83,38.1289,0.6
13260000,31,-372.502,2524.98,26.2551,0.58
13280000,29,-351.956,2524.85,29.8885,0.55
13300000,30,-361.02,2493.12,38.5497,0.573333
13320000,36,-430.294,2534.51,40.2909,0.577
13340000,27,-320.65,2513.93,25.6453,0.597
13360000,37,-443.875,2533.08,35.1392,0.621
13380000,30,-378.175,2535.18,31.777,0.564833
13400000,34,-421.789,2531.09,31.1797,0.558
13420000,26,-327.814,2524.84,22.2381,0.575412
