"tip_label","kingdom","phylum","class","family","genus","species","habitat_preference","num_present"
"otu_9565","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","freshwater:terrestrial",12
"otu_8210","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Plesiocystis","Plesiocystis pacifica","terrestrial",4
"otu_2349","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Plesiocystis","Plesiocystis pacifica","freshwater",5
"otu_5834","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Plesiocystis","Plesiocystis pacifica","mud_and_shore",5
"otu_928","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","mud_and_shore",6
"otu_2773","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","mud_and_shore",4
"otu_8261","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Plesiocystis","Plesiocystis pacifica","mud_and_shore",5
"otu_2408","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","mud_and_shore:terrestrial",6
"otu_1690","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","mud_and_shore",4
"otu_12598","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","terrestrial",4
"otu_177","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","mud_and_shore",10
"otu_5244","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","mud_and_shore:terrestrial",8
"otu_2486","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","mud_and_shore",6
"otu_5239","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","mud_and_shore",7
"otu_160","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","mud_and_shore",5
