generation,N_shifts,logPrior,logLik,eventRate,acceptRate
4460000,2,-48.1031,587.406,3.4057,0.584
4480000,0,-24.9874,593.674,0.421365,0.41
4500000,0,-26.2825,594.214,0.10695,0.432
4520000,0,-26.352,593.844,3.22572,0.484
4540000,0,-26.2582,593.691,0.165175,0.477
4560000,0,-24.8606,595.446,0.787969,0.499545
4580000,0,-25.6644,596.435,0.547111,0.464
4600000,0,-24.9801,592.029,0.1937,0.46475
4620000,0,-26.7668,593.142,0.0709947,0.477
4640000,3,-57.5613,594.46,4.08502,0.424
4660000,0,-25.413,596.118,0.232602,0.361
4680000,0,-24.1909,594.117,0.243922,0.469
4700000,1,-34.6765,595.411,2.86263,0.648333
4720000,0,-24.5898,594.486,0.29169,0.5055
4740000,1,-39.9777,594.16,5.48838,0.498
4760000,0,-24.1545,591.839,2.84941,0.451364
4780000,0,-25.4241,595.977,0.07859,0.411
4800000,0,-24.1129,594.119,0.996033,0.423333
4820000,0,-26.3694,596.384,0.207727,0.456
4840000,0,-24.7941,595.61,0.0303387,0.432
4860000,0,-25.3018,595.221,0.479239,0.417
4880000,1,-35.2279,595.737,1.75972,0.483667
4900000,0,-27.5714,595.016,0.490075,0.417
4920000,1,-35.0113,595.279,1.86729,0.442
4940000,1,-35.5556,598.625,0.791526,0.588
4960000,0,-24.5357,594.636,0.366336,0.436
4980000,1,-35.6358,593.474,4.24416,0.490731
5000000,2,-45.2169,591.147,1.96444,0.612
5020000,0,-23.7555,591.867,2.40605,0.498
5040000,0,-23.5142,592.967,0.341106,0.413
5060000,0,-24.5143,594.04,0.0546119,0.529
5080000,0,-25.1203,593.615,0.414066,0.428667
5100000,0,-26.5204,595.314,2.3034,0.442
5120000,1,-37.0262,594.791,1.54756,0.476667
5140000,0,-24.8684,592.868,0.296375,0.436
5160000,1,-34.9922,595.689,1.78987,0.451
5180000,0,-25.1153,594.875,3.80193,0.55
5200000,0,-24.3942,594.043,1.37109,0.361
5220000,0,-24.05,592.968,3.17833,0.466154
5240000,1,-37.9578,592.445,3.51411,0.417875
5260000,1,-35.0712,597.344,2.05728,0.528615
5280000,0,-24.6617,594.941,0.0606239,0.419
5300000,0,-25.066,594.306,1.88769,0.45925
5320000,0,-26.6251,595.671,0.153281,0.578833
5340000,0,-23.7221,592.897,1.19465,0.3985
5360000,0,-26.6619,595.567,0.715842,0.479786
5380000,0,-26.9912,592.056,0.431732,0.407
5400000,0,-24.9943,595.404,0.831274,0.408
5420000,0,-24.4721,591.892,2.04732,0.419
5440000,1,-34.9815,594.971,1.42012,0.4686
5460000,0,-25.0298,594.591,2.49425,0.463
5480000,0,-25.0182,595.599,0.543639,0.423
5500000,0,-24.6438,591.514,0.0240229,0.685
5520000,0,-25.8675,596.461,0.138418,0.413
5540000,0,-24.1006,593.999,2.03052,0.512
5560000,0,-25.7899,596.174,3.78042,0.444
5580000,0,-25.0634,594.987,1.24399,0.542
5600000,0,-23.4548,591.421,2.19817,0.381
5620000,0,-23.8358,591.644,0.791583,0.367
5640000,0,-25.6255,595.276,0.0223369,0.384
5660000,0,-24.3675,594.033,0.391503,0.403
5680000,0,-24.5397,592.714,0.669956,0.402
5700000,0,-24.328,593.271,1.09128,0.5005
5720000,0,-26.0736,594.561,2.22235,0.485778
5740000,0,-26.4997,594.977,0.749271,0.452
5760000,0,-25.3105,593.646,0.271597,0.389
5780000,1,-37.1685,592.687,1.57114,0.4712
5800000,2,-45.3538,594.349,3.41525,0.594
5820000,1,-33.3979,592.269,0.782126,0.4255
5840000,0,-25.3674,595.86,1.55217,0.618
5860000,1,-41.3155,593.716,0.646584,0.443
5880000,0,-25.5466,595.632,1.33955,0.496333
5900000,0,-26.4044,595.396,0.871676,0.54
5920000,0,-24.7074,591.687,3.45425,0.452556
5940000,0,-25.0087,595.378,0.833938,0.430143
5960000,1,-36.7711,594.213,1.29298,0.412
5980000,1,-36.3647,595.863,1.59238,0.44425
