generation,rank_1,rank_2,swapAccepted
683000,1,4,0
684000,1,3,1
685000,1,4,0
686000,2,3,1
687000,3,4,0
688000,3,4,0
689000,2,4,1
690000,2,3,1
691000,1,4,0
692000,2,4,1
693000,1,2,1
694000,2,3,1
695000,2,4,0
696000,1,4,0
697000,2,3,1
698000,2,4,0
699000,1,2,1
700000,2,3,1
701000,2,3,1
702000,1,2,1
703000,1,4,1
704000,1,3,1
705000,3,4,1
706000,3,4,1
707000,1,4,0
708000,1,4,1
709000,3,4,0
710000,1,4,1
711000,3,4,1
712000,1,2,1
713000,1,3,1
714000,2,4,1
715000,1,2,1
716000,1,4,1
717000,3,4,1
718000,1,3,1
719000,1,3,1
720000,1,3,1
721000,1,2,1
722000,1,2,1
723000,3,4,1
724000,1,2,0
725000,1,2,0
726000,1,4,1
727000,1,3,1
728000,2,3,1
729000,1,2,1
730000,3,4,1
731000,2,3,1
732000,2,4,1
733000,3,4,1
734000,2,4,1
735000,2,4,0
736000,3,4,0
737000,2,3,1
738000,1,4,0
739000,2,3,1
740000,1,3,1
741000,2,3,1
742000,2,4,0
743000,2,4,0
744000,1,4,1
745000,2,3,1
746000,3,4,1
747000,1,2,1
748000,2,3,1
749000,3,4,1
750000,3,4,1
751000,2,4,0
752000,2,4,1
753000,1,4,1
754000,3,4,1
755000,1,4,0
756000,2,3,1
757000,2,4,0
758000,2,3,1
759000,2,4,0
760000,1,3,0
761000,2,3,1
762000,3,4,1
763000,3,4,1
764000,2,3,1
765000,1,2,1
766000,2,3,1
767000,2,4,0
768000,1,3,0
769000,2,4,1
770000,2,3,1
771000,1,2,1
772000,2,3,1
773000,1,4,1
774000,3,4,1
775000,2,3,1
776000,1,4,0
777000,3,4,1
778000,2,4,1
779000,2,3,0
780000,1,3,1
781000,1,3,1
782000,1,4,1
783000,1,4,1
784000,2,3,1
785000,3,4,1
786000,3,4,1
787000,2,3,1
788000,2,4,1
789000,1,2,1
790000,3,4,1
791000,1,3,0
792000,2,3,1
793000,2,3,1
794000,1,3,0
795000,2,4,0
796000,2,3,1
797000,1,2,1
798000,1,4,0
799000,3,4,1
800000,1,2,1
801000,1,2,1
802000,3,4,1
803000,3,4,1
804000,1,2,1
805000,1,2,1
806000,1,4,1
807000,3,4,1
808000,1,2,1
809000,1,4,1
810000,2,3,1
811000,2,3,1
812000,3,4,1
813000,2,3,0
814000,3,4,1
815000,2,4,1
816000,1,3,1
817000,1,2,1
818000,1,2,0
819000,3,4,1
820000,1,3,0
821000,1,4,0
822000,1,4,0
823000,1,4,1
824000,1,2,1
825000,1,4,1
826000,1,2,1
827000,1,4,0
828000,2,3,1
829000,1,2,1
830000,1,2,1
831000,2,3,0
832000,3,4,1
833000,3,4,1
834000,1,4,0
835000,2,4,0
836000,3,4,0
837000,2,3,1
838000,1,4,0
839000,1,2,1
840000,3,4,0
841000,1,2,1
842000,1,2,1
843000,1,2,0
