generation,N_shifts,logPrior,logLik,eventRate,acceptRate
22320000,27,-309.761,2106.24,33.1093,0.435
22340000,34,-401.296,2118.43,40.1697,0.505778
22360000,35,-408.457,2133.94,36.8238,0.523
22380000,29,-334.826,2119.45,20.1889,0.473
22400000,31,-353.23,2107.91,23.8659,0.465
22420000,34,-391.555,2099.99,25.935,0.486429
22440000,33,-374.929,2112.24,28.5226,0.513
22460000,37,-426.894,2100.81,33.7739,0.527
22480000,30,-341.44,2093.05,30.6209,0.492
22500000,30,-338.936,2103.92,38.7909,0.513939
22520000,35,-399.617,2108.7,37.7071,0.5069
22540000,34,-385.153,2125.61,39.8349,0.516
22560000,32,-370.947,2115.63,34.081,0.490143
22580000,26,-298.644,2073.98,23.3769,0.486
22600000,26,-296.255,2073.83,26.1426,0.4745
22620000,31,-354.576,2113.9,27.4795,0.474
22640000,32,-365.967,2108.14,30.5723,0.5
22660000,31,-344.757,2089.09,26.3837,0.496
22680000,33,-377.728,2109.63,33.2704,0.510579
22700000,28,-314.334,2099.77,30.5816,0.473
22720000,31,-366.382,2104.86,37.9941,0.4735
22740000,32,-359.848,2081.23,42.0687,0.51
22760000,33,-372.692,2096.96,42.9627,0.489
22780000,31,-351.411,2115.23,30.1094,0.5
22800000,33,-362.169,2117.65,57.256,0.4926
22820000,37,-420.824,2129.95,37.8889,0.497
22840000,30,-330.198,2113.61,37.0888,0.5
22860000,30,-333.139,2106.17,36.7217,0.49
22880000,36,-403.131,2080.04,42.9587,0.50629
22900000,33,-375.295,2109.28,27.7318,0.534
22920000,31,-345.508,2126.67,36.0481,0.474
22940000,32,-351.949,2111.18,28.4186,0.496
22960000,33,-374.507,2098.1,25.7984,0.508
22980000,29,-329.926,2105.12,27.7817,0.496
23000000,26,-293.176,2108.91,25.2977,0.458
23020000,29,-324.188,2119.87,34.3795,0.498
23040000,29,-319.423,2062.2,33.5019,0.488
23060000,33,-371.587,2099.4,22.7713,0.472
23080000,31,-349.486,2071.16,40.1592,0.487
23100000,29,-327.144,2111.08,35.8126,0.482583
23120000,29,-335.237,2087.24,24.1943,0.511
23140000,30,-346.2,2131.28,34.581,0.437
23160000,33,-385.43,2126.34,33.0973,0.486
23180000,32,-363.531,2117.32,31.8127,0.490368
23200000,30,-348.131,2077.47,32.5801,0.501214
23220000,34,-377.277,2115.63,49.2574,0.49825
23240000,30,-339.303,2067.74,37.3684,0.504905
23260000,30,-338.843,2151.34,44.4127,0.495
23280000,39,-448.248,2107.08,32.2769,0.512167
23300000,29,-336.426,2119.73,21.408,0.49
23320000,29,-335.669,2114.77,48.0514,0.439
23340000,32,-366.574,2126.78,34.3537,0.511
23360000,34,-385.716,2106.61,37.1501,0.486
23380000,37,-419.37,2131.51,40.1371,0.511
23400000,32,-360.37,2113.85,33.4238,0.459
23420000,38,-424.693,2121.25,30.1465,0.51
23440000,33,-371.031,2118.85,36.9199,0.5141
23460000,34,-383.62,2109.7,42.8155,0.507
23480000,27,-307.945,2098.49,26.5985,0.531
